Date,Open,High,Low,Close,Adj Close,Volume
2016-08-12,31.620001,31.740000,30.980000,31.080000,27.853550,4426400
2016-08-15,31.320000,31.760000,31.309999,31.730000,28.436073,2898200
2016-08-16,32.389999,32.669998,32.160000,32.400002,29.036520,3964300
2016-08-17,32.040001,32.400002,31.639999,32.220001,28.875208,2840800
2016-08-18,32.799999,32.799999,32.369999,32.630001,29.242643,2486000
2016-08-19,32.029999,32.220001,31.760000,32.060001,28.731817,2820900
2016-08-22,31.340000,31.690001,31.219999,31.610001,28.328531,3619000
2016-08-23,32.169998,32.570000,32.099998,32.130001,28.794550,3531100
2016-08-24,31.969999,32.040001,31.469999,31.500000,28.229950,2755900
2016-08-25,31.559999,31.889999,31.490000,31.820000,28.516731,2664700
2016-08-26,32.369999,32.830002,31.240000,31.540001,28.265797,6799500
2016-08-29,31.400000,31.770000,31.250000,31.690001,28.400225,2862700
2016-08-30,31.190001,31.270000,30.480000,30.600000,27.423382,3397900
2016-08-31,30.190001,30.410000,30.040001,30.170000,27.038017,3806100
2016-09-01,30.639999,30.820000,30.280001,30.780001,27.584694,2429600
2016-09-02,31.389999,31.430000,30.700001,31.129999,27.898359,5074800
2016-09-06,31.270000,31.590000,31.040001,31.580000,28.301645,2574000
2016-09-07,31.139999,31.340000,30.750000,31.040001,27.817703,3176400
2016-09-08,31.600000,31.830000,31.320000,31.469999,28.203064,2802000
2016-09-09,31.360001,31.420000,30.709999,30.740000,27.548845,2759100
2016-09-12,30.059999,31.209999,29.990000,31.120001,27.889399,4519000
2016-09-13,30.389999,30.490000,29.620001,29.799999,26.706427,4193900
2016-09-14,30.139999,30.450001,29.900000,30.320000,27.172447,4111600
2016-09-15,29.990000,30.600000,29.910000,30.490000,27.324799,4211100
2016-09-16,30.000000,30.230000,29.790001,29.900000,26.796047,3812200
2016-09-19,30.950001,31.049999,30.700001,30.799999,27.602617,3278900
2016-09-20,30.900000,31.000000,30.690001,30.910000,27.701197,2157200
2016-09-21,31.260000,32.099998,31.260000,32.040001,28.713892,3383700
2016-09-22,33.060001,33.150002,32.490002,32.520000,29.144064,4703600
2016-09-23,32.419998,32.759998,32.330002,32.410000,29.045481,3075200
2016-09-26,32.410000,32.529999,32.150002,32.169998,28.830395,2134300
2016-09-27,31.709999,32.320000,31.610001,32.230000,28.884167,2094900
2016-09-28,32.910000,33.770000,32.669998,33.740002,30.237413,7921100
2016-09-29,33.720001,34.340000,33.490002,33.700001,30.201565,5105900
2016-09-30,33.790001,33.869999,33.290001,33.400002,29.932709,3756800
2016-10-03,33.410000,33.619999,33.209999,33.560001,30.076097,2107700
2016-10-04,34.160000,34.160000,32.939999,33.099998,29.663849,3784500
2016-10-05,33.570000,33.959999,33.330002,33.720001,30.219492,2184100
2016-10-06,33.299999,33.509998,33.099998,33.180000,29.735550,1929100
2016-10-07,33.680000,33.720001,32.959999,33.160000,29.717623,6391300
2016-10-10,33.419998,33.939999,33.400002,33.709999,30.210524,3035900
2016-10-11,33.740002,33.770000,32.380001,32.580002,29.197836,3884900
2016-10-12,32.970001,33.400002,32.720001,32.810001,29.403959,5021200
2016-10-13,31.270000,32.020000,31.240000,31.809999,28.507767,4797200
2016-10-14,32.090000,32.369999,31.760000,31.770000,28.471922,2556400
2016-10-17,31.670000,31.969999,31.670000,31.809999,28.507767,2891600
2016-10-18,32.709999,32.720001,32.270000,32.549999,29.170948,2708900
2016-10-19,32.250000,32.689999,32.099998,32.619999,29.233679,4149600
2016-10-20,32.240002,32.590000,31.889999,32.419998,29.054443,3467600
2016-10-21,32.590000,33.160000,32.470001,32.869999,29.457727,3523900
2016-10-24,33.279999,33.349998,32.840000,33.119999,29.681776,2908900
2016-10-25,34.009998,34.450001,33.980000,34.119999,30.577967,4359300
2016-10-26,34.080002,34.470001,33.930000,34.209999,30.658623,2911900
2016-10-27,34.450001,34.580002,34.099998,34.240002,30.685509,2672200
2016-10-28,34.500000,34.820000,34.400002,34.529999,30.945400,3112700
2016-10-31,34.740002,35.000000,34.639999,34.849998,31.232182,2089800
2016-11-01,35.320000,35.369999,34.509998,34.680000,31.079830,4180600
2016-11-02,34.930000,35.130001,34.419998,34.450001,30.873707,4922400
2016-11-03,34.660000,34.950001,34.450001,34.560001,30.972290,2420200
2016-11-04,34.049999,34.330002,33.910000,33.930000,30.407688,3161200
2016-11-07,35.110001,35.290001,34.889999,35.279999,31.617542,2985100
2016-11-08,35.220001,35.900002,35.080002,35.720001,32.011868,3851800
2016-11-09,37.349998,38.470001,37.290001,38.240002,34.270264,8236500
2016-11-10,39.740002,40.189999,39.060001,39.290001,35.211266,10019700
2016-11-11,38.959999,39.150002,38.299999,39.080002,35.023064,4362300
2016-11-14,38.900002,39.650002,38.860001,39.650002,35.533890,5119400
2016-11-15,37.490002,38.150002,37.220001,38.130001,34.171684,4841800
2016-11-16,37.459999,37.619999,37.040001,37.360001,33.481617,3937500
2016-11-17,37.580002,37.980000,37.320000,37.560001,33.660854,2997400
2016-11-18,36.590000,36.849998,36.250000,36.549999,32.755703,3356700
2016-11-21,37.220001,37.560001,37.110001,37.509998,33.616043,3166100
2016-11-22,38.299999,39.080002,38.049999,39.000000,34.951366,4598100
2016-11-23,37.970001,39.410000,37.950001,39.389999,35.300880,6764300
2016-11-25,39.110001,39.419998,38.810001,39.349998,35.265034,2818100
2016-11-28,39.000000,39.650002,38.919998,39.450001,35.354649,5484100
2016-11-29,38.459999,38.840000,38.220001,38.340000,34.359882,4229600
2016-11-30,37.959999,38.220001,37.660000,37.910000,33.974522,3387400
2016-12-01,37.950001,38.619999,37.869999,38.349998,34.368839,2885100
2016-12-02,38.000000,39.040001,37.939999,39.020000,34.969288,2444100
2016-12-05,39.320000,39.660000,39.099998,39.490002,35.390499,2676700
2016-12-06,38.619999,39.250000,38.520000,39.250000,35.175415,2634500
2016-12-07,40.630001,41.580002,40.570000,41.529999,37.218723,5568600
2016-12-08,42.590000,42.610001,41.709999,42.119999,37.747478,9437100
2016-12-09,41.599998,41.630001,40.869999,41.150002,36.878174,3853500
2016-12-12,41.570000,41.959999,41.419998,41.500000,37.191837,3032400
2016-12-13,41.340000,41.570000,40.410000,40.830002,36.591393,3303800
2016-12-14,40.680000,41.119999,39.980000,40.040001,35.883404,2975800
2016-12-15,38.750000,39.340000,38.529999,39.250000,35.175415,4518300
2016-12-16,38.900002,39.259998,38.730000,38.759998,34.736279,3625900
2016-12-19,38.139999,38.509998,38.029999,38.180000,34.216492,2808100
2016-12-20,38.590000,39.099998,38.509998,39.080002,35.023064,2468000
2016-12-21,38.950001,39.029999,38.790001,38.880001,34.843826,1943900
2016-12-22,38.439999,38.650002,38.110001,38.180000,34.216492,1961800
2016-12-23,38.099998,38.279999,37.959999,38.119999,34.162716,999800
2016-12-27,38.230000,38.459999,38.220001,38.349998,34.368839,868100
2016-12-28,39.450001,39.480000,38.820000,38.869999,34.834858,1923900
2016-12-29,39.020000,39.040001,38.750000,38.900002,34.861748,1754400
2016-12-30,39.349998,39.509998,38.400002,38.459999,34.467426,2868600
2017-01-03,38.840000,39.090000,38.750000,38.959999,34.915516,2426000
2017-01-04,38.549999,39.230000,38.509998,39.209999,35.139565,3119700
2017-01-05,38.540001,39.389999,38.540001,39.320000,35.238148,3898100
2017-01-06,38.820000,39.009998,38.369999,38.389999,34.404690,3582600
2017-01-09,38.360001,38.720001,38.259998,38.360001,34.377804,4081800
2017-01-10,40.529999,41.009998,40.340000,41.000000,36.743744,5717800
2017-01-11,41.310001,41.770000,41.040001,41.700001,37.371078,4782600
2017-01-12,42.869999,42.869999,41.939999,42.130001,37.756439,5007800
2017-01-13,41.740002,42.250000,41.430000,42.040001,37.675777,3089700
